YEAR,STATE,SEX,AGE,REGISTRATIONS
2022,Pahang,female,40-44,279
2022,Pahang,female,45-49,246
2022,Pahang,female,50-54,226
2022,Pahang,female,55-59,260
2022,Pahang,female,60-64,249
2022,Pahang,female,65-69,248
2022,Pahang,female,70-74,187
2022,Pahang,female,75-79,130
2022,Pahang,female,80-84,66
2022,Pahang,female,85+,31
2022,Pahang,male,0-12,10778
2022,Pahang,male,12-17,1245
2022,Pahang,male,18-24,762
2022,Pahang,male,25-29,865
2022,Pahang,male,30-34,938
2022,Pahang,male,35-39,900
2022,Pahang,male,40-44,688
2022,Pahang,male,45-49,475
2022,Pahang,male,50-54,330
2022,Pahang,male,55-59,221
2022,Pahang,male,60-64,253
2022,Pahang,male,65-69,217
2022,Pahang,male,70-74,189
2022,Pahang,male,75-79,106
2022,Pahang,male,80-84,39
2022,Pahang,male,85+,18
2022,Perak,female,0-12,23235
2022,Perak,female,12-17,2253
2022,Perak,female,18-24,777
2022,Perak,female,25-29,741
2022,Perak,female,30-34,725
2022,Perak,female,35-39,641
2022,Perak,female,40-44,605
2022,Perak,female,45-49,492
2022,Perak,female,50-54,517
2022,Perak,female,55-59,576
2022,Perak,female,60-64,649
2022,Perak,female,65-69,602
2022,Perak,female,70-74,550
2022,Perak,female,75-79,314
2022,Perak,female,80-84,239
2022,Perak,female,85+,148
2022,Perak,male,0-12,24004
2022,Perak,male,12-17,2418
2022,Perak,male,18-24,1262
2022,Perak,male,25-29,1449
2022,Perak,male,30-34,1357
2022,Perak,male,35-39,1145
2022,Perak,male,40-44,988
2022,Perak,male,45-49,809
2022,Perak,male,50-54,649
2022,Perak,male,55-59,620
2022,Perak,male,60-64,557
2022,Perak,male,65-69,508
2022,Perak,male,70-74,459
2022,Perak,male,75-79,251
2022,Perak,male,80-84,161
2022,Perak,male,85+,76
2022,Perlis,female,0-12,1615
2022,Perlis,female,12-17,177
2022,Perlis,female,18-24,43
2022,Perlis,female,25-29,28
